text,label,language
"WITHOUT AFFECTING STRICT PRODUCT LIABILITY UNDER MANDATORY APPLICABLE LAW, SECTION 10, OR THE RESPECTIVE OBLIGATIONS OF THE PARTIES UNDER THE CONFIDENTIAILITY AGREEMENT AND EXCEPT FOR BREACHES ASSOCIATED WITH THE UNAUTHORIZED USE OF INTELLECTUAL PROPERTY, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR TORT DAMAGES, INCLUDING WITHOUT LIMITATION, ANY DAMAGES RESULTING FROM LOSS OF USE, LOSS OF DATA, LOSS OF PROFITS OR LOSS OF BUSINESS ARISING OUT OF OR IN CONNECTION WITH THE MATTERS CONTEMPLATED BY THIS AGREEMENT, WHETHER OR NOT A PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",liability_cap,english
Axiometric will have the right to terminate the license to use the office space and to move out of the office space at any time upon two weeks notice.,termination,english
The Reseller Agreement can be terminated at any time at the discretion of either party.,termination,english
"In consideration for such training, trade secrets and confidential information, you and your principals agree that during the term of this Agreement, and for a continuous uninterrupted period commencing upon expiration or termination of this Agreement, regardless of the cause for termination, and continuing for a period of three (3) years thereafter, neither you nor your principals shall, directly or indirectly, for themselves, or through, on behalf of, or in conjunction with any person, persons, partnership, limited liability company or corporation:",non_compete,english
"Any and all claims and actions arising out of or relating to this Agreement, the relationship of you and us, or your operation of the Franchised Business, brought by any party hereto against the other, shall be commenced within two (2) years from the occurrence of the facts giving rise to such claim or action, or such claim or action shall be barred.",liability_cap,english
"The independent certified public accounting firm will be provided access to the Books and Records of the Audited Party, and such examination will be conducted during the Audited Party's normal business hours.",audit_rights,english
"During the Term, PPI shall be solely responsible for and pay any royalties or other amounts due to Third Parties related to the Product and shall indemnify and hold EKR harmless from any claims arising from or related thereto.",general,english
"Each Party agrees that in the event it violates the provisions of this Section 15.9, it will pay to the other Party as liquidated damages, and not as a penalty, an amount equal to one hundred times (100 X) of any such employee's then-current base annual salary.",penalty,english
"During the term of any Study Order under this Agreement, Adaptimmune Limited shall maintain in full force and effect insurance for its and Adaptimmune's liabilities arising from the Study with limits of not less than $*** per loss and $*** annual aggregate. Adaptimmune shall provide MD Anderson with evidence of such insurance upon request.",insurance,english
"NCC shall not be liable for any loss caused to the Owner or the Licensee either jointly or severally except for loss of or damage to the Material to the extent that such loss or damage is caused by the negligent acts or omissions of NCC, its employees, agents or sub-contractors and in such event NCC's total liability in respect of all claims arising under or by virtue of this Agreement shall not (except in the case of claims for personal injury or death) exceed the sum of (pounds)500,000.",liability_cap,english
"Subject to the terms of this Agreement, Exact on behalf of itself and its Affiliates, hereby grants to Pfizer a non-exclusive, royalty free license, with the right to sublicense to one or more of its Affiliates, under the Exact House Marks, the Exact Trademarks and the Exact Copyrights, during the Term, to the extent necessary or appropriate to allow Pfizer and its Affiliates to carry out activities under this Agreement including to Promote and Detail the Product in the Co-Promote Field in the Territory.",license_grant,english
