id,title,category,language,text
1,Government Employment Contract,Employment,Nepali,"यो रोजगार करार सरकारी कर्मचारीको लागि तयार गरिएको हो। कर्मचारीको मुख्य कर्तव्य यो हो कि उनी/उनले आफनो सम्पूर्ण कार्य अवधिमा समर्पित भएर काम गरणुपर्दछ। दोस्रो खण्डमा वेतन र भत्ताको विषय छ। कर्मचारीले महिनामा नियमित वेतनको साथ स्वास्थ्य बीमा र अवकाश सुविधा पाउनु हुनुपर्दछ। यदि कर्मचारीले नियम उल्लङ्घन गरे भने उनी/उनलाई कर्मको आधारमा दण्डनीय हुनेछ। यो करार दुई वर्षको लागि प्रभावी हुनेछ र त्यसपछि नवीकरण हुन सक्दछ।"
2,Service Agreement,Service,Nepali,"यो सेवा करार सेवा प्रदायक र ग्राहकको बीचमा गरिएको हो। सेवा प्रदायकको मुख्य जिम्मेवारी यो हो कि उनी/उनले गुणस्तरीय सेवा प्रदान गरणुपर्दछ। सेवाको दर प्रति घण्टा निर्धारित गरिएको छ। सेवा प्रदायकले समयमा काम पूरा गरणुपर्दछ। यदि समयमा काम पूरा नभएमा दण्ड लगाइनेछ। करारको अवधि छ महिना हुनेछ।"
3,Rental Agreement,Property,Nepali,"यो भाडामा दिने र लिने बीचमा भएको करार हो। घरधनीले भाडा तोकिएको समयमा लिणुपर्छ। भाडा तोकिएको मितिमा नदिएमा दण्ड हुनेछ। किराएदारले घरको उचित देखभाल गरणुपर्छ। तीन महिना अगावै सूचना दिई घर खाली गर्न सक्छ। भाडा रु. १०,०००/महिना हुनेछ।"
4,Partnership Agreement,Business,Nepali,"यो साझेदारी करार दुई साझेदार बीचमा गरिएको हो। दुबै साझेदार बराबर लाभ र हानिको सहभागी हुनेछ। साझेदारले व्यापार संचालनमा पूर्ण प्रतिबद्ध हुनु पर्दछ। यदि कुनै साझेदार अनैतिक कार्य गरे भने दण्डनीय हुनेछ। साझेदारीको अवधि पाँच वर्ष हुनेछ।"
5,Loan Agreement,Finance,Nepali,"यो ऋण करार ऋणदाता र ऋणग्राहकको बीचमा गरिएको हो। ऋण रु. ५०० हजार हुनेछ। ऋणग्राहकले बार्षिक आठ प्रतिशत ब्याज दिणुपर्छ। ऋण १२ महिनामा किश्तमा फिर्ता गरणुपर्छ। यदि किश्त समयमा नदिए तीस दिन पछि पेनाल्टी लगाइनेछ।"
6,Lease Agreement,Property,English,"This lease agreement is entered into between the landlord and the tenant. The tenant shall pay rent of Rs. 15,000 per month. Rent must be paid by the 5th of every month. The lease period is 2 years. The tenant must maintain the property in good condition. Either party may terminate with 30 days notice. The security deposit is Rs. 30,000 which will be returned at the end of the lease."
7,Service Contract,Service,English,"This is a service contract between the service provider and the client. The service provider shall provide professional services as agreed. The service fee is Rs. 100,000 per month. Payment shall be made within 15 days of invoice. The contract duration is 6 months with option to extend. Either party may terminate with 60 days written notice. The service provider must maintain confidentiality of all information."
8,Employment Contract,Employment,English,"This employment contract is between the employer and the employee. The employee's responsibilities include all assigned work duties. The salary is Rs. 50,000 per month with benefits. The employee shall work 8 hours per day, 5 days per week. The employee must follow all company policies. Violation of policies may result in termination. The employment period is initially for 2 years with possibility of renewal."
9,Loan with Collateral,Finance,Mixed,"यो ऋण करार ऋणदाताले ऋणग्राहीलाई रु. १० लाख ऋण दिईरहेछ। The loan period shall be 24 months. ब्याज दर वार्षिक १० प्रतिशत हुनेछ। Interest shall be calculated monthly and added to the principal amount. किश्ताको रकम प्रति महिना रु. ४५ हजार हुनेछ। The collateral shall be a vehicle registered in the name of the borrower. यदि ऋणग्राही किश्त नदिए भने ऋणदाताले गिरवी सम्पत्ति बिक्री गर्न सक्दछ।"
10,Distribution Agreement,Business,Mixed,"यो वितरण करार निर्माता र वितरकको बीचमा गरिएको हो। The distributor shall purchase goods at wholesale price and sell at retail price. वितरकले प्रति महिना न्यूनतम रु. २ लाख मूल्यको सामान किन्नु पर्दछ। The manufacturer provides marketing support and promotional materials. वितरकले अनन्य क्षेत्रमा काम गर्न पाइनेछ। Either party may terminate with 90 days notice. The agreement shall be valid for 3 years from the date of signing।"
